,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
8680,JWT,Airlines,Online,Value Plan,No,11,INDIA,60.0,24.0,M,118
8681,JWT,Airlines,Online,Value Plan,No,43,INDIA,31.0,12.4,F,118
8682,JWT,Airlines,Online,Value Plan,No,6,INDIA,31.0,12.4,M,118
8683,JWT,Airlines,Online,Value Plan,No,6,INDIA,78.0,31.2,M,118
8684,JWT,Airlines,Online,Value Plan,No,11,INDIA,31.0,12.4,F,118
8689,JZI,Airlines,Online,Basic Plan,No,73,VIET NAM,30.0,10.5,M,34
8690,JZI,Airlines,Online,Basic Plan,No,47,CHINA,69.0,24.15,F,59
8691,JZI,Airlines,Online,Basic Plan,No,7,PHILIPPINES,18.0,6.3,F,43
8692,JZI,Airlines,Online,Basic Plan,No,103,THAILAND,22.0,7.7,F,41
8693,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18.0,6.3,F,33
8694,JZI,Airlines,Online,Basic Plan,No,18,AUSTRALIA,35.0,12.25,F,44
8695,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18.0,6.3,M,31
8696,JZI,Airlines,Online,Basic Plan,No,60,HONG KONG,26.0,9.1,M,50
8697,JZI,Airlines,Online,Basic Plan,No,12,HONG KONG,26.0,9.1,M,34
8698,JZI,Airlines,Online,Basic Plan,No,4,INDONESIA,18.0,6.3,M,64
8699,JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,26.0,9.1,F,31
8700,JZI,Airlines,Online,Basic Plan,No,55,THAILAND,22.0,7.7,M,36
8701,JZI,Airlines,Online,Basic Plan,No,103,HONG KONG,35.0,12.25,F,33
8702,JZI,Airlines,Online,Basic Plan,No,41,PHILIPPINES,42.0,14.7,F,49
8703,JZI,Airlines,Online,Basic Plan,No,26,THAILAND,18.0,6.3,F,34
8704,JZI,Airlines,Online,Basic Plan,No,9,CHINA,35.0,12.25,F,44
8705,JZI,Airlines,Online,Basic Plan,No,5,VIET NAM,22.0,7.7,M,63
8706,JZI,Airlines,Online,Basic Plan,No,4,MALAYSIA,22.0,7.7,F,62
8707,JZI,Airlines,Online,Basic Plan,No,10,"KOREA, REPUBLIC OF",26.0,9.1,M,45
8708,JZI,Airlines,Online,Basic Plan,No,4,MALAYSIA,18.0,6.3,M,54
8709,JZI,Airlines,Online,Basic Plan,No,19,THAILAND,22.0,7.7,M,55
8710,JZI,Airlines,Online,Basic Plan,No,69,HONG KONG,22.0,7.7,M,67
8711,JZI,Airlines,Online,Basic Plan,No,17,INDIA,22.0,7.7,M,27
8712,JZI,Airlines,Online,Basic Plan,No,30,PHILIPPINES,18.0,6.3,M,44
8713,JZI,Airlines,Online,Basic Plan,No,101,AUSTRALIA,26.0,9.1,M,32
8714,JZI,Airlines,Online,Basic Plan,No,20,HONG KONG,35.0,12.25,M,71
8715,JZI,Airlines,Online,Basic Plan,No,99,PHILIPPINES,52.0,18.2,F,36
8716,JZI,Airlines,Online,Basic Plan,No,12,HONG KONG,26.0,9.1,M,26
8717,JZI,Airlines,Online,Basic Plan,No,10,VIET NAM,18.0,6.3,M,65
8718,JZI,Airlines,Online,Basic Plan,No,22,CHINA,44.0,15.4,M,33
8719,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,18.0,6.3,M,36
8720,JZI,Airlines,Online,Basic Plan,No,154,INDONESIA,58.0,20.3,F,44
8721,JZI,Airlines,Online,Basic Plan,No,7,CHINA,22.0,7.7,M,42
8722,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18.0,6.3,M,51
8723,JZI,Airlines,Online,Basic Plan,No,85,"KOREA, REPUBLIC OF",35.0,12.25,F,23
8724,JZI,Airlines,Online,Basic Plan,No,6,CHINA,22.0,7.7,F,35
8725,JZI,Airlines,Online,Value Plan,No,12,UNITED KINGDOM,109.0,38.15,M,51
8726,JZI,Airlines,Online,Value Plan,No,47,SPAIN,87.0,30.45,F,31
8727,JZI,Airlines,Online,Value Plan,No,27,JAPAN,83.0,29.05,M,50
8728,CCR,Travel Agency,Offline,Comprehensive Plan,No,4,MALAYSIA,29.0,9.57,F,118
8729,CSR,Travel Agency,Offline,Comprehensive Plan,No,34,THAILAND,29.0,9.57,M,64
8730,C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,44.25,11.06,M,35
8731,C2B,Airlines,Online,Bronze Plan,No,8,SINGAPORE,25.5,6.38,F,56
8732,C2B,Airlines,Online,Silver Plan,No,53,SINGAPORE,81.75,20.44,F,31
8733,C2B,Airlines,Online,Silver Plan,No,27,SINGAPORE,108.0,27.0,F,53
8734,C2B,Airlines,Online,Gold Plan,No,67,SINGAPORE,73.0,18.25,M,28
8735,C2B,Airlines,Online,Annual Silver Plan,No,366,SINGAPORE,216.75,54.19,F,25
8736,C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,291.75,72.94,F,53
8884,JWT,Airlines,Online,Value Plan,No,15,INDIA,39.0,15.6,F,118
8885,RAB,Airlines,Online,Value Plan,No,5,BRUNEI DARUSSALAM,15.0,6.0,M,37
8892,JZI,Airlines,Online,Basic Plan,No,123,PHILIPPINES,30.0,10.5,F,46
8893,JZI,Airlines,Online,Basic Plan,No,23,HONG KONG,22.0,7.7,M,45
8894,JZI,Airlines,Online,Basic Plan,No,27,CHINA,26.0,9.1,M,42
8895,JZI,Airlines,Online,Basic Plan,No,65,MYANMAR,33.0,11.55,M,29
8896,JZI,Airlines,Online,Basic Plan,No,32,HONG KONG,35.0,12.25,M,58
8897,JZI,Airlines,Online,Basic Plan,No,14,CHINA,40.0,14.0,F,29
8898,JZI,Airlines,Online,Basic Plan,No,149,"KOREA, REPUBLIC OF",69.0,24.15,F,24
8899,JZI,Airlines,Online,Basic Plan,No,65,MYANMAR,33.0,11.55,M,21
8900,JZI,Airlines,Online,Basic Plan,No,11,HONG KONG,26.0,9.1,M,21
8901,JZI,Airlines,Online,Basic Plan,No,33,PHILIPPINES,52.0,18.2,F,43
8902,JZI,Airlines,Online,Basic Plan,No,7,SRI LANKA,26.0,9.1,M,49
8903,JZI,Airlines,Online,Basic Plan,No,10,HONG KONG,22.0,7.7,M,36
8904,JZI,Airlines,Online,Basic Plan,No,7,PHILIPPINES,22.0,7.7,M,33
8905,JZI,Airlines,Online,Basic Plan,No,9,CHINA,26.0,9.1,F,39
8906,JZI,Airlines,Online,Basic Plan,No,29,MALAYSIA,22.0,7.7,M,53
8907,JZI,Airlines,Online,Basic Plan,No,12,THAILAND,22.0,7.7,F,52
8908,JZI,Airlines,Online,Basic Plan,No,164,PHILIPPINES,47.0,16.45,F,39
8909,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18.0,6.3,M,39
8910,JZI,Airlines,Online,Basic Plan,No,24,CHINA,35.0,12.25,M,54
8911,JZI,Airlines,Online,Basic Plan,No,60,PHILIPPINES,37.0,12.95,F,46
8912,JZI,Airlines,Online,Basic Plan,No,11,HONG KONG,26.0,9.1,M,46
8913,JZI,Airlines,Online,Basic Plan,No,12,CHINA,26.0,9.1,F,44
8914,JZI,Airlines,Online,Basic Plan,No,51,THAILAND,30.0,10.5,M,48
8915,JZI,Airlines,Online,Basic Plan,No,51,THAILAND,30.0,10.5,M,41
8916,JZI,Airlines,Online,Basic Plan,No,26,THAILAND,22.0,7.7,M,32
8917,JZI,Airlines,Online,Basic Plan,No,104,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,F,36
8918,JZI,Airlines,Online,Basic Plan,No,1,VIET NAM,18.0,6.3,M,63
8919,JZI,Airlines,Online,Basic Plan,No,9,HONG KONG,26.0,9.1,M,39
8920,JZI,Airlines,Online,Basic Plan,No,17,MALAYSIA,22.0,7.7,F,43
8921,JZI,Airlines,Online,Basic Plan,No,4,MALAYSIA,18.0,6.3,M,54
8922,JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18.0,6.3,M,49
8923,JZI,Airlines,Online,Value Plan,No,10,AUSTRALIA,45.0,15.75,M,41
8924,CBH,Travel Agency,Offline,Comprehensive Plan,No,19,THAILAND,29.0,9.57,M,80
8925,CSR,Travel Agency,Offline,Comprehensive Plan,No,19,THAILAND,29.0,9.57,F,83
8926,CCR,Travel Agency,Offline,Comprehensive Plan,No,19,THAILAND,29.0,9.57,F,85
8927,ART,Airlines,Online,24 Protect,No,12,MALAYSIA,13.0,4.55,M,48
8928,ART,Airlines,Online,24 Protect,No,3,SINGAPORE,13.0,4.55,M,48
8929,ART,Airlines,Online,24 Protect,No,1,PHILIPPINES,13.14,4.6,F,48
8930,C2B,Airlines,Online,Bronze Plan,No,58,SINGAPORE,23.0,5.75,M,29
8931,C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,0.0,11.5,F,60
8932,C2B,Airlines,Online,Annual Silver Plan,Yes,374,SINGAPORE,291.75,72.94,M,53
8933,C2B,Airlines,Online,Annual Silver Plan,No,366,SINGAPORE,216.75,54.19,M,73
9076,JWT,Airlines,Online,Value Plan,No,5,INDIA,31.0,12.4,M,118
9080,JZI,Airlines,Online,Basic Plan,No,64,MYANMAR,33.0,11.55,F,56
9081,JZI,Airlines,Online,Basic Plan,No,80,MYANMAR,52.0,18.2,F,27
9082,JZI,Airlines,Online,Basic Plan,No,24,HONG KONG,26.0,9.1,M,30
9083,JZI,Airlines,Online,Basic Plan,No,24,THAILAND,22.0,7.7,M,47
9084,JZI,Airlines,Online,Basic Plan,No,13,THAILAND,18.0,6.3,M,58
9085,JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,18.0,6.3,M,57
9086,JZI,Airlines,Online,Basic Plan,No,25,ITALY,49.0,17.15,M,49
9087,JZI,Airlines,Online,Basic Plan,No,30,PHILIPPINES,30.0,10.5,M,51
9088,JZI,Airlines,Online,Basic Plan,No,7,CHINA,35.0,12.25,M,30
9089,JZI,Airlines,Online,Basic Plan,No,14,CHINA,26.0,9.1,M,55
9090,JZI,Airlines,Online,Basic Plan,No,2,CHINA,22.0,7.7,M,34
9091,JZI,Airlines,Online,Basic Plan,No,10,MALAYSIA,0.0,10.5,M,30
9092,JZI,Airlines,Online,Basic Plan,No,80,MYANMAR,52.0,18.2,F,49
9093,JZI,Airlines,Online,Basic Plan,No,48,CHINA,56.0,19.6,M,49
9094,JZI,Airlines,Online,Basic Plan,No,28,THAILAND,18.0,6.3,M,57
9095,JZI,Airlines,Online,Basic Plan,No,14,CAMBODIA,22.0,7.7,M,51
9096,JZI,Airlines,Online,Basic Plan,No,9,CHINA,35.0,12.25,M,50
9097,JZI,Airlines,Online,Value Plan,No,10,"KOREA, REPUBLIC OF",58.0,20.3,M,29
9225,JWT,Airlines,Online,Value Plan,No,26,INDIA,95.0,38.0,M,118
9226,JWT,Airlines,Online,Value Plan,No,65,INDIA,78.0,31.2,F,118
9227,JWT,Airlines,Online,Value Plan,No,1,INDIA,31.0,12.4,F,118
9228,KML,Travel Agency,Online,Premier Plan,No,35,GERMANY,86.0,32.68,M,48
9234,JZI,Airlines,Online,Basic Plan,No,5,THAILAND,18.0,6.3,M,51
9235,JZI,Airlines,Online,Basic Plan,No,6,VIET NAM,22.0,7.7,M,63
9236,JZI,Airlines,Online,Basic Plan,No,5,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,31
9237,JZI,Airlines,Online,Basic Plan,No,10,INDONESIA,18.0,6.3,F,31
9238,JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,18.0,6.3,M,60
9239,JZI,Airlines,Online,Basic Plan,No,4,INDONESIA,22.0,7.7,M,33
9240,JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,18.0,6.3,M,43
9241,JZI,Airlines,Online,Basic Plan,No,184,"KOREA, REPUBLIC OF",26.0,9.1,F,49
9242,JZI,Airlines,Online,Basic Plan,No,34,AUSTRALIA,26.0,9.1,M,36
9243,JZI,Airlines,Online,Basic Plan,No,34,AUSTRALIA,26.0,9.1,M,66
9244,JZI,Airlines,Online,Basic Plan,No,137,INDONESIA,47.0,16.45,F,38
9245,JZI,Airlines,Online,Basic Plan,No,16,THAILAND,22.0,7.7,F,26
9246,JZI,Airlines,Online,Basic Plan,No,51,PHILIPPINES,33.0,11.55,F,34
9247,JZI,Airlines,Online,Basic Plan,No,74,PHILIPPINES,42.0,14.7,F,31
9248,JZI,Airlines,Online,Basic Plan,No,40,HONG KONG,35.0,12.25,M,68
9249,JZI,Airlines,Online,Basic Plan,No,11,AUSTRALIA,35.0,12.25,F,54
9250,JZI,Airlines,Online,Basic Plan,No,30,INDIA,26.0,9.1,M,28
9251,JZI,Airlines,Online,Basic Plan,No,10,HONG KONG,26.0,9.1,M,47
9252,JZI,Airlines,Online,Basic Plan,No,17,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,53
9253,JZI,Airlines,Online,Basic Plan,No,89,PHILIPPINES,47.0,16.45,M,54
9254,JZI,Airlines,Online,Basic Plan,No,40,MYANMAR,52.0,18.2,M,20
9255,JZI,Airlines,Online,Basic Plan,No,119,PHILIPPINES,37.0,12.95,F,56
9256,JZI,Airlines,Online,Basic Plan,No,31,"KOREA, REPUBLIC OF",26.0,9.1,M,24
9257,JZI,Airlines,Online,Basic Plan,No,20,PHILIPPINES,18.0,6.3,F,34
9258,JZI,Airlines,Online,Basic Plan,No,287,"KOREA, REPUBLIC OF",35.0,12.25,F,15
9259,JZI,Airlines,Online,Value Plan,No,22,UNITED KINGDOM,87.0,30.45,M,21
9260,JZI,Airlines,Online,Basic Plan,No,4,NEPAL,26.0,9.1,F,38
9261,JZI,Airlines,Online,Basic Plan,No,15,MALAYSIA,18.0,6.3,M,35
9262,JZI,Airlines,Online,Value Plan,No,23,JAPAN,69.0,24.15,F,26
9263,JZI,Airlines,Online,Basic Plan,No,121,JAPAN,44.0,15.4,F,118
9264,C2B,Airlines,Online,Bronze Plan,No,16,SINGAPORE,20.25,5.06,F,46
9265,C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,70.5,17.63,F,28
9266,C2B,Airlines,Online,Silver Plan,No,63,SINGAPORE,50.25,12.56,F,36
9267,C2B,Airlines,Online,Gold Plan,No,153,SINGAPORE,176.25,44.06,F,21
9268,C2B,Airlines,Online,Annual Silver Plan,No,370,SINGAPORE,216.75,54.19,F,78
9269,C2B,Airlines,Online,Annual Silver Plan,No,366,SINGAPORE,291.75,72.94,M,34
9270,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,291.75,72.94,F,72
9450,JWT,Airlines,Online,Value Plan,No,95,INDIA,62.0,24.8,M,118
9451,JWT,Airlines,Online,Value Plan,No,56,INDIA,75.0,30.0,M,118
9452,JWT,Airlines,Online,Value Plan,No,95,INDIA,155.0,62.0,M,118
9453,JWT,Airlines,Online,Value Plan,No,21,INDIA,50.0,20.0,M,118
9454,JWT,Airlines,Online,Value Plan,No,2,INDIA,31.0,12.4,M,118
9455,KML,Travel Agency,Online,Premier Plan,No,5,INDONESIA,38.0,14.44,M,48
9456,RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15.0,6.0,M,48
9458,JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,26.0,9.1,M,61
9459,JZI,Airlines,Online,Basic Plan,No,57,CAMBODIA,33.0,11.55,M,47
9460,JZI,Airlines,Online,Basic Plan,No,142,JAPAN,26.0,9.1,M,23
9461,JZI,Airlines,Online,Basic Plan,No,37,"KOREA, REPUBLIC OF",26.0,9.1,F,42
9462,JZI,Airlines,Online,Basic Plan,No,36,CHINA,26.0,9.1,M,42
9463,JZI,Airlines,Online,Basic Plan,No,19,HONG KONG,26.0,9.1,M,25
9464,JZI,Airlines,Online,Basic Plan,No,67,NEW ZEALAND,22.0,7.7,M,24
9465,JZI,Airlines,Online,Basic Plan,No,94,INDONESIA,33.0,11.55,F,48
9466,JZI,Airlines,Online,Basic Plan,No,92,THAILAND,30.0,10.5,F,19
9467,CBH,Travel Agency,Offline,Comprehensive Plan,Yes,102,THAILAND,29.0,9.57,F,29
9468,C2B,Airlines,Online,Bronze Plan,No,48,SINGAPORE,16.2,4.05,M,38
9469,C2B,Airlines,Online,Bronze Plan,No,76,SINGAPORE,64.2,16.05,F,39
9470,C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,28.2,7.05,F,66
9471,C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,20.25,5.06,M,24
9472,C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,35.25,8.81,F,28
9473,C2B,Airlines,Online,Bronze Plan,No,53,SINGAPORE,36.0,9.0,M,24
9474,C2B,Airlines,Online,Silver Plan,No,2,SINGAPORE,30.0,7.5,M,32
9475,C2B,Airlines,Online,Silver Plan,No,24,SINGAPORE,76.2,19.05,M,38
9476,C2B,Airlines,Online,Silver Plan,No,28,SINGAPORE,50.4,12.6,F,42
9477,C2B,Airlines,Online,Silver Plan,No,7,SINGAPORE,37.5,9.38,F,52
9478,C2B,Airlines,Online,Gold Plan,No,48,SINGAPORE,114.75,28.69,F,47
9479,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,216.75,54.19,F,37
9480,C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,216.75,54.19,M,36
9644,JWT,Airlines,Online,Value Plan,No,0,INDIA,31.0,12.4,M,118
9645,JWT,Airlines,Online,Value Plan,No,12,INDIA,39.0,15.6,F,118
9646,KML,Travel Agency,Online,Value Plan,No,34,INDONESIA,28.0,10.64,F,48
9648,RAB,Airlines,Online,Value Plan,No,5,BRUNEI DARUSSALAM,15.0,6.0,F,30
9649,RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15.0,6.0,M,45
9653,JZI,Airlines,Online,Basic Plan,No,112,PHILIPPINES,52.0,18.2,F,34
9654,JZI,Airlines,Online,Basic Plan,No,50,HONG KONG,26.0,9.1,F,31
9655,JZI,Airlines,Online,Basic Plan,No,14,PHILIPPINES,18.0,6.3,F,34
9656,JZI,Airlines,Online,Basic Plan,No,10,INDONESIA,18.0,6.3,M,53
9657,JZI,Airlines,Online,Basic Plan,No,86,CHINA,26.0,9.1,M,31
9658,JZI,Airlines,Online,Basic Plan,No,9,HONG KONG,26.0,9.1,M,56
9659,JZI,Airlines,Online,Basic Plan,No,26,PHILIPPINES,0.0,10.5,F,39
9660,JZI,Airlines,Online,Basic Plan,No,25,AUSTRALIA,35.0,12.25,M,58
9661,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,22.0,7.7,M,53
9662,JZI,Airlines,Online,Basic Plan,No,41,"KOREA, REPUBLIC OF",26.0,9.1,F,36
9663,JZI,Airlines,Online,Basic Plan,No,8,HONG KONG,26.0,9.1,F,35
9664,JZI,Airlines,Online,Basic Plan,No,27,VIET NAM,22.0,7.7,M,37
9665,JZI,Airlines,Online,Basic Plan,No,20,INDIA,35.0,12.25,M,40
9666,JZI,Airlines,Online,Basic Plan,No,40,CHINA,26.0,9.1,M,44
9667,JZI,Airlines,Online,Basic Plan,No,9,HONG KONG,26.0,9.1,F,45
9668,JZI,Airlines,Online,Basic Plan,No,72,CHINA,26.0,9.1,F,48
9669,JZI,Airlines,Online,Basic Plan,No,14,HONG KONG,35.0,12.25,F,29
9670,JZI,Airlines,Online,Basic Plan,No,11,THAILAND,22.0,7.7,M,49
9671,JZI,Airlines,Online,Basic Plan,No,13,"KOREA, REPUBLIC OF",35.0,12.25,M,33
9672,JZI,Airlines,Online,Basic Plan,No,28,THAILAND,22.0,7.7,F,50
9673,JZI,Airlines,Online,Basic Plan,No,57,PHILIPPINES,52.0,18.2,F,45
9674,JZI,Airlines,Online,Value Plan,No,5,"KOREA, REPUBLIC OF",36.0,12.6,M,30
9675,JZI,Airlines,Online,Value Plan,No,19,HONG KONG,58.0,20.3,M,48
9676,JZI,Airlines,Online,Value Plan,No,4,"KOREA, REPUBLIC OF",36.0,12.6,M,62
9677,CSR,Travel Agency,Offline,Comprehensive Plan,No,19,MALAYSIA,29.0,9.57,F,24
9678,JZI,Airlines,Online,Basic Plan,No,12,PHILIPPINES,33.0,11.55,F,28
9679,CSR,Travel Agency,Offline,Comprehensive Plan,No,19,MALAYSIA,29.0,9.57,F,29
9680,C2B,Airlines,Online,Bronze Plan,No,11,SINGAPORE,25.5,6.38,M,29
9681,C2B,Airlines,Online,Bronze Plan,No,5,SINGAPORE,42.75,10.69,M,48
9682,C2B,Airlines,Online,Bronze Plan,No,15,SINGAPORE,51.75,12.94,F,62
9683,C2B,Airlines,Online,Bronze Plan,No,3,SINGAPORE,17.25,4.31,F,48
9684,C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,34.3,8.57,F,72
9685,C2B,Airlines,Online,Silver Plan,No,0,SINGAPORE,0.0,5.63,F,51
9686,C2B,Airlines,Online,Silver Plan,No,1,SINGAPORE,22.5,5.63,F,51
9687,C2B,Airlines,Online,Silver Plan,No,19,SINGAPORE,127.0,31.75,F,32
9688,C2B,Airlines,Online,Gold Plan,No,182,SINGAPORE,156.0,39.0,M,47
9689,C2B,Airlines,Online,Gold Plan,No,5,SINGAPORE,53.25,13.31,M,33
9690,C2B,Airlines,Online,Annual Silver Plan,No,380,SINGAPORE,216.75,54.19,M,60
9691,C2B,Airlines,Online,Annual Silver Plan,Yes,367,SINGAPORE,291.75,72.94,M,37
9692,C2B,Airlines,Online,Annual Silver Plan,No,376,SINGAPORE,291.75,72.94,F,58
9863,JWT,Airlines,Online,Value Plan,No,1,INDIA,62.0,24.8,M,118
9864,JWT,Airlines,Online,Value Plan,No,10,INDIA,50.0,20.0,M,118
9865,JWT,Airlines,Online,Value Plan,No,11,INDIA,31.0,12.4,F,118
9866,KML,Travel Agency,Online,Value Plan,No,29,INDONESIA,28.0,10.64,F,48
9867,RAB,Airlines,Online,Value Plan,No,10,BRUNEI DARUSSALAM,15.0,6.0,M,54
9868,RAB,Airlines,Online,Value Plan,No,5,BRUNEI DARUSSALAM,15.0,6.0,M,30
9869,RAB,Airlines,Online,Value Plan,No,20,BRUNEI DARUSSALAM,23.0,9.2,M,22
9873,JZI,Airlines,Online,Basic Plan,No,8,HONG KONG,26.0,9.1,F,39
9874,JZI,Airlines,Online,Basic Plan,No,6,VIET NAM,22.0,7.7,M,32
9875,JZI,Airlines,Online,Basic Plan,No,3,INDONESIA,22.0,7.7,M,54
9876,JZI,Airlines,Online,Basic Plan,No,9,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,48
9877,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18.0,6.3,M,85
9878,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18.0,6.3,F,31
9879,JZI,Airlines,Online,Basic Plan,No,15,CHINA,26.0,9.1,F,26
9880,JZI,Airlines,Online,Basic Plan,No,27,PHILIPPINES,22.0,7.7,M,32
9881,JZI,Airlines,Online,Basic Plan,No,11,"KOREA, REPUBLIC OF",26.0,9.1,M,54
9882,JZI,Airlines,Online,Basic Plan,No,1,CHINA,22.0,7.7,F,54
9883,JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22.0,7.7,M,42
9884,JZI,Airlines,Online,Basic Plan,No,31,"KOREA, REPUBLIC OF",44.0,15.4,F,43
9885,JZI,Airlines,Online,Basic Plan,No,33,PHILIPPINES,37.0,12.95,F,43
9886,JZI,Airlines,Online,Basic Plan,No,26,THAILAND,37.0,12.95,F,37
9887,JZI,Airlines,Online,Basic Plan,No,27,THAILAND,37.0,12.95,M,61
9888,JZI,Airlines,Online,Basic Plan,No,27,THAILAND,37.0,12.95,M,61
9889,JZI,Airlines,Online,Basic Plan,No,37,PHILIPPINES,37.0,12.95,F,43
9890,JZI,Airlines,Online,Basic Plan,No,11,THAILAND,30.0,10.5,F,32
9891,JZI,Airlines,Online,Basic Plan,No,11,THAILAND,30.0,10.5,F,45
9892,JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22.0,7.7,M,61
9893,JZI,Airlines,Online,Basic Plan,No,13,HONG KONG,26.0,9.1,F,45
9894,JZI,Airlines,Online,Basic Plan,No,19,INDONESIA,18.0,6.3,M,44
9895,JZI,Airlines,Online,Basic Plan,No,14,CHINA,26.0,9.1,F,33
9896,JZI,Airlines,Online,Basic Plan,No,5,CHINA,26.0,9.1,M,29
9897,JZI,Airlines,Online,Basic Plan,No,27,THAILAND,22.0,7.7,M,39
9898,JZI,Airlines,Online,Value Plan,No,27,FRANCE,49.0,17.15,F,35
9899,JZI,Airlines,Online,Value Plan,Yes,9,AUSTRALIA,45.0,15.75,F,45
9900,JZI,Airlines,Online,Value Plan,No,25,AUSTRALIA,45.0,15.75,M,21
9904,JZI,Airlines,Online,Basic Plan,No,16,INDONESIA,-18.0,6.3,F,38
9905,JZI,Airlines,Online,Basic Plan,No,91,NEPAL,-61.0,21.35,F,30
9907,ART,Airlines,Online,24 Protect,No,17,PHILIPPINES,-22.61,7.91,M,48
9909,ART,Airlines,Online,24 Protect,No,17,PHILIPPINES,-14.39,5.04,F,48
9921,JZI,Airlines,Online,Value Plan,No,23,JAPAN,-69.0,24.15,F,26
9937,ART,Airlines,Online,24 Protect,No,53,MALAYSIA,10.7,3.74,M,48
9938,ART,Airlines,Online,24 Protect,No,46,THAILAND,22.94,8.03,M,48
9939,C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,20.25,5.06,F,35
9940,C2B,Airlines,Online,Bronze Plan,No,15,SINGAPORE,20.25,5.06,F,62
9941,C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,44.25,11.06,F,27
9942,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,20.25,5.06,M,26
9943,C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,20.25,5.06,F,33
9944,C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,50.25,12.56,M,31
9945,C2B,Airlines,Online,Silver Plan,No,4,SINGAPORE,22.5,5.63,F,45
9946,C2B,Airlines,Online,Silver Plan,No,18,SINGAPORE,50.0,12.5,F,45
9947,C2B,Airlines,Online,Silver Plan,No,46,SINGAPORE,27.75,6.94,F,45
9948,C2B,Airlines,Online,Gold Plan,No,60,SINGAPORE,146.25,36.56,M,72
9949,C2B,Airlines,Online,Annual Silver Plan,No,386,SINGAPORE,291.75,72.94,M,47
9950,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,291.75,72.94,M,33
10141,JWT,Airlines,Online,Value Plan,No,9,INDIA,50.0,20.0,M,118
10142,JWT,Airlines,Online,Value Plan,No,3,INDIA,31.0,12.4,F,118
10143,JWT,Airlines,Online,Value Plan,No,6,INDIA,39.0,15.6,M,118
10144,KML,Travel Agency,Online,Value Plan,No,67,INDONESIA,28.0,10.64,M,48
10145,KML,Travel Agency,Online,Value Plan,No,61,INDONESIA,28.0,10.64,F,48
10146,RAB,Airlines,Online,Value Plan,No,18,BRUNEI DARUSSALAM,23.0,9.2,M,29
10147,RAB,Airlines,Online,Value Plan,No,9,BRUNEI DARUSSALAM,15.0,6.0,F,23
10150,JZI,Airlines,Online,Basic Plan,No,289,PHILIPPINES,37.0,12.95,F,37
10151,JZI,Airlines,Online,Basic Plan,No,32,MALAYSIA,18.0,6.3,F,29
10152,JZI,Airlines,Online,Basic Plan,No,30,CHINA,63.0,22.05,M,32
10153,JZI,Airlines,Online,Basic Plan,No,82,"KOREA, REPUBLIC OF",35.0,12.25,F,49
10154,JZI,Airlines,Online,Basic Plan,No,12,CHINA,35.0,12.25,M,35
10155,JZI,Airlines,Online,Basic Plan,No,23,CHINA,44.0,15.4,F,41
10156,JZI,Airlines,Online,Basic Plan,No,16,CHINA,35.0,12.25,M,44
10157,JZI,Airlines,Online,Basic Plan,No,17,MALAYSIA,30.0,10.5,F,38
10158,JZI,Airlines,Online,Basic Plan,No,24,CHINA,26.0,9.1,F,39
